순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
77,2290162579,우성전기통신,박노선,분석,61009898,85.0,89.727,90.038,-0.1789 (99.8211),15 5,2022/09/28 15:37:09,
78,6058166688,(주)세계아이티씨,김황기,분석,61009980,85.0,89.727,90.038,-0.1788 (99.8212),4 13,2022/09/29 09:23:27,
79,2068125141,주식회사 스테이지넷,임영규,분석,61011860,85.0,89.73,90.041,-0.1757 (99.8243),15 5,2022/09/28 15:45:36,
80,2138176895,주식회사 코젠,윤영근,분석,61013900,85.0,89.733,90.044,-0.1723 (99.8277),13 14,2022/09/28 09:49:44,
81,1108174749,유프로시스(주),김종본,분석,61016405,85.0,89.737,90.047,-0.1682 (99.8318),5 15,2022/09/26 12:43:12,
82,1208742187,주식회사 미소아이티,김재욱,분석,61016920,85.0,89.738,90.048,-0.1674 (99.8326),12 9,2022/09/27 13:56:55,
83,2148645634,한국전자금융주식회사,구자성,분석,61019522,85.0,89.742,90.052,-0.1631 (99.8369),9 6,2022/09/27 10:39:59,
84,1178152367,(주)브레인컨설팅,박수영,분석,61019950,85.0,89.743,90.053,-0.1624 (99.8376),8 1,2022/09/28 09:17:18,
85,2048124559,(주)대용와트스,남상태,분석,61020561,85.0,89.744,90.053,-0.1614 (99.8386),14 10,2022/09/29 09:18:24,
86,2378700035,주식회사 사운드플레이스,도상우,분석,61021013,85.0,89.744,90.054,-0.1607 (99.8393),15 7,2022/09/28 10:01:03,
87,1198158412,애드넷정보통신(주),박상흥,분석,61021500,85.0,89.745,90.055,-0.1599 (99.8401),12 1,2022/09/27 12:25:51,
88,1198191309,용진하이테크에너지 주식회사,김진석,분석,61021722,85.0,89.746,90.055,-0.1595 (99.8405),3 11,2022/09/29 16:25:54,
89,1098150316,(주)건우통신,노형환,분석,61022700,85.0,89.747,90.057,-0.1579 (99.8421),14 6,2022/09/29 09:18:37,
90,1198616251,주식회사 누리인프라,정성우,분석,61024700,85.0,89.75,90.06,-0.1547 (99.8453),13 5,2022/09/28 16:03:20,
91,1048632400,주식회사 원이앤에스,지연관,분석,61025880,85.0,89.752,90.061,-0.1527 (99.8473),6 7,2022/09/27 16:31:08,
92,1298141752,에이플시스템즈(주),윤진경,분석,61026130,85.0,89.752,90.062,-0.1523 (99.8477),4 2,2022/09/27 15:08:16,
93,2088115241,한애전자(주),최용경,분석,61028690,85.0,89.757,90.065,-0.1481 (99.8519),8 1,2022/09/28 09:21:51,
