순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-126,1248172871,중앙이엔에프 주식회사,김영자,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-127,1248150692,주식회사 탑엔지니어링,최성달,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-128,1178135131,(주)진웅아이티시그널,허윤,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-129,1198602494,(주) 네오인아이텍,이경미,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-130,1058132562,주식회사 신보기전,정종욱,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-131,4168216339,(사)한국척수장애인협회,구근회,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-132,5048121485,합자회사 태성산업사,유지연,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-133,1288166463,(주)대운전설,김지환,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-134,1268634242,주식회사 웹센,심달호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-135,1198606485,주식회사 에이치엠솔루션,이상진,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-136,1108153477,주식회사 타코스텔레콤,이종도,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-137,1098165008,주식회사 아이스기술,강신섭,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-138,1298125510,정광(주),유정현,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-139,1338137048,주식회사 도아(到我),박기덕,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-140,1978100851,동신정보기술 주식회사,박동진,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-141,1068167098,코스믹전기통신 주식회사,이규선,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-142,1288183458,주식회사 파워텔레콤,김성배,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-143,1388184401,위즐리앤컴퍼니 주식회사,위정식,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-144,1018143596,부기테크(주),은철우,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-145,1358632705,주식회사 신일전기통신공사,이은숙,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-146,2117299696,성원전자통신,성기신,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-147,1298145379,창전이앤시(주),김인자,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-148,1298129762,화인정보통신(주),신용운,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-149,1238184001,주식회사 삼도텔레콤,정대상,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-150,1278607544,성진머티리얼즈 주식회사,권미영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-151,1138158414,(주)신우종합정보,김찬종,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-152,1268667423,주식회사 티엔씨에스,장동관,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-153,2188101953,주식회사 비츠로시스,변석재,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-154,1068147942,태양이엠씨(주),선오규,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-155,1058777708,주식회사 선광이엔지,이미희,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-156,1098195410,(주)신성글로벌네트워크,홍우석,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-157,1078154150,(주)케이원정보통신,김승일,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-158,2068188409,주식회사 넥스파시스템,이상준,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-159,1308691918,(주)네오아이에스,이진호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-160,1238614932,(주)중흥테크놀러지,유유완,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-161,1138139080,(주)성강통신기술사사무소,안치영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-162,1278195155,주식회사 대흥디씨티,박준석,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-163,1338112601,우석전자씨스템 주식회사,이석우,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-164,4488700784,주식회사 성광이앤씨,배영환,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-165,2748800123,중앙씨앤티 주식회사,윤영진,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-166,1388135671,주식회사 휴먼테크,이성재,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-167,2048182243,주식회사 동방텔레콤,이동열,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-168,1198153514,다린전력(주),오승한,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-169,2098132016,주식회사 건양전기신호,홍순양,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-170,2148123348,성제전기(주),김팔성,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-171,1268670457,주식회사나래정보통신,강인구,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-172,5758701673,주식회사 가온정보통신,최종화,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-173,1428170925,주식회사 신우일렉스,김영일,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-174,2208727579,유환아이텍 주식회사,유창수,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-175,1068180219,(주)네트웍리더,권철영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-176,6388700747,기마테크 주식회사,최병진,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
