순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
122,5478101768,하스트 주식회사,김종혁,분석,57310676,85.0,89.484,89.52,-0.4019 (99.5981),10 4,2022/10/06 14:19:21,
123,2078136563,동하이앤에프(주),전영길,분석,57312137,85.0,89.486,89.522,-0.3993 (99.6007),11 12,2022/10/05 10:22:23,
124,1088607693,(주)가온데이터,이기원,분석,57312755,85.0,89.487,89.523,-0.3983 (99.6017),8 9,2022/10/05 16:35:04,
125,1138148366,주식회사 레이어스,조인선,분석,57315710,85.0,89.492,89.528,-0.3931 (99.6069),5 7,2022/10/07 09:13:36,
126,1138192902,(주)대성정보통신기술,이덕남,분석,57316220,85.0,89.493,89.529,-0.3922 (99.6078),5 6,2022/10/06 09:20:51,
127,1138694303,향원전자통신 주식회사,이진영,분석,57316740,85.0,89.494,89.529,-0.3913 (99.6087),4 13,2022/10/05 18:58:55,
128,2178601498,주식회사 엔키텍,원영춘,분석,57318637,85.0,89.497,89.532,-0.3880 (99.612),8 15,2022/10/06 10:04:17,
129,2198111833,주식회사 대영아이오티,전인구,분석,57318810,85.0,89.498,89.533,-0.3877 (99.6123),9 5,2022/10/07 08:44:15,
130,2037666794,금성텔레콤,정용상,분석,57319970,85.0,89.5,89.535,-0.3857 (99.6143),10 2,2022/10/06 11:45:59,
131,1068601621,주식회사 동양타브,이세근,분석,57320133,85.0,89.5,89.535,-0.3854 (99.6146),8 13,2022/10/05 16:11:21,
132,1138159301,삼인제어시스템 주식회사,최민성,분석,57321810,85.0,89.503,89.537,-0.3825 (99.6175),12 2,2022/10/05 16:02:28,
133,2098119463,(주)두레정보통신,김시영,분석,57323900,85.0,89.506,89.541,-0.3789 (99.6211),14 6,2022/10/06 15:56:44,
134,1178158978,주식회사 화일이엔에프,박광섭,분석,57325320,85.0,89.509,89.543,-0.3764 (99.6236),3 2,2022/10/06 14:05:06,
135,6148105647,(주)이앤제너텍,정종암,분석,57326290,85.0,89.51,89.544,-0.3747 (99.6253),2 7,2022/10/06 13:43:56,
136,1068180219,(주)네트웍리더,권철영,분석,57326800,85.0,89.511,89.545,-0.3739 (99.6261),5 2,2022/10/06 19:48:01,
137,1068641638,(주)매트릭스미디어,김진성,분석,57326873,85.0,89.511,89.545,-0.3737 (99.6263),2 1,2022/10/06 17:55:04,
138,3388801483,주식회사 에버그린티앤씨,최재완,분석,57331138,85.0,89.518,89.552,-0.3663 (99.6337),6 13,2022/10/05 10:58:16,
139,1378192155,주식회사 유비앤에스,고용만,분석,57331526,85.0,89.519,89.553,-0.3656 (99.6344),7 1,2022/10/07 08:57:21,
140,1198649596,주식회사 원넷시스,김성식,분석,57332500,85.0,89.521,89.554,-0.3640 (99.636),10 11,2022/10/06 16:53:01,
141,1041890207,삼정정보통신,이순봉,분석,57333310,85.0,89.522,89.555,-0.3625 (99.6375),12 7,2022/10/06 13:50:35,
142,2148885547,주식회사 디앤와이코리아,손경탁,분석,57335618,85.0,89.526,89.559,-0.3585 (99.6415),1 5,2022/10/05 10:26:47,
143,1058694239,(주)진성전력,김용일,분석,57335840,85.0,89.526,89.559,-0.3582 (99.6418),1 3,2022/10/05 11:23:22,
144,2055169402,청포음향,신동열,분석,57337450,85.0,89.529,89.562,-0.3554 (99.6446),12 14,2022/10/06 18:46:19,
145,1198130210,(주)와이드넷엔지니어링,이맹훈,분석,57337510,85.0,89.529,89.562,-0.3552 (99.6448),3 12,2022/10/06 17:47:46,
146,1198623733,주식회사 케이비티정보통신,YUXIAOLU,분석,57337971,85.0,89.53,89.563,-0.3544 (99.6456),12 6,2022/10/07 09:55:05,
147,1198653668,에코아이넷(주),박은희,분석,57339467,85.0,89.532,89.565,-0.3518 (99.6482),6 1,2022/10/05 17:02:06,
148,1208635791,주식회사 피엔에이링크,박윤철,분석,57339742,85.0,89.533,89.565,-0.3514 (99.6486),9 7,2022/10/06 10:30:18,
149,2178113330,(주)오성에스이엠,오성표,분석,57339754,85.0,89.533,89.565,-0.3513 (99.6487),8 14,2022/10/06 08:58:05,
150,2208865207,주식회사 소나텍,최성욱,분석,57341116,85.0,89.535,89.568,-0.3490 (99.651),14 2,2022/10/06 10:38:34,
151,4028141375,주식회사 이레유비크,박임철,분석,57341250,85.0,89.535,89.568,-0.3487 (99.6513),2 1,2022/10/05 13:26:08,
152,2098133373,주식회사 씨스넷,이명재,분석,57342150,85.0,89.537,89.569,-0.3472 (99.6528),2 1,2022/10/05 11:11:04,
153,2158603049,유니넷텍(주),김한호,분석,57346830,85.0,89.545,89.576,-0.3391 (99.6609),15 5,2022/10/05 16:02:28,
154,7128702247,주식회사 파인네트웍스,김미정,분석,57347133,85.0,89.545,89.577,-0.3385 (99.6615),9 5,2022/10/05 10:48:02,
155,1208163439,(주)아이엘에스씨,이병준,분석,57348032,85.0,89.547,89.578,-0.3370 (99.663),1 10,2022/10/06 08:20:01,
156,1058178215,금성시큐리티(주),조성아,분석,57348328,85.0,89.547,89.579,-0.3364 (99.6636),12 14,2022/10/06 21:58:47,
157,1078757203,주식회사 비에스파워,정병섭,분석,57349300,85.0,89.549,89.58,-0.3348 (99.6652),9 14,2022/10/05 11:56:12,
158,1198184278,주식회사엠디네트워크,이재현,분석,57352803,85.0,89.555,89.586,-0.3287 (99.6713),11 13,2022/10/05 22:41:13,
159,1078675432,(주)비젼엔텍,김종윤,분석,57352919,85.0,89.555,89.586,-0.3285 (99.6715),10 11,2022/10/05 10:02:37,
160,2038143228,백영전자 주식회사(白榮電子 株式會社),임대순,분석,57353410,85.0,89.556,89.587,-0.3276 (99.6724),7 13,2022/10/06 08:21:39,
161,1988101775,주식회사 사운드허브,임채임,분석,57353490,85.0,89.556,89.587,-0.3275 (99.6725),3 2,2022/10/06 10:40:15,
162,8758100854,주식회사피앤에스네트웍솔루션,정용선,분석,57353622,85.0,89.556,89.587,-0.3272 (99.6728),11 6,2022/10/07 09:30:29,
163,2158602337,지엔네텔(주),고시영,분석,57354028,85.0,89.557,89.588,-0.3265 (99.6735),7 2,2022/10/06 18:42:05,
164,6288800543,주식회사 시온네트워크,김동현,분석,57356330,85.0,89.561,89.591,-0.3225 (99.6775),10 14,2022/10/05 13:14:47,
165,2048131967,(주)용백전설,곽의영,분석,57356558,85.0,89.561,89.592,-0.3221 (99.6779),5 13,2022/10/05 10:43:40,
166,6218602134,(주)플러스전력,이하일,분석,57357380,85.0,89.563,89.593,-0.3207 (99.6793),6 14,2022/10/05 16:33:59,
167,1058660665,(주)일신전업,김한경,분석,57357645,85.0,89.563,89.593,-0.3203 (99.6797),8 4,2022/10/07 06:08:03,
168,1078155407,(주)윤익계전,안용준,분석,57358225,85.0,89.564,89.594,-0.3192 (99.6808),8 15,2022/10/05 13:51:26,
169,1128139637,(주)씨엘에이에스,윤호중,분석,57358649,85.0,89.565,89.595,-0.3185 (99.6815),14 12,2022/10/06 08:29:24,
170,2208602950,(주)세연텔레콤,홍성일,분석,57359480,85.0,89.566,89.596,-0.3171 (99.6829),1 2,2022/10/05 11:00:40,
171,8418601383,주식회사 미리내통신,박맹관,분석,57359596,85.0,89.566,89.596,-0.3169 (99.6831),6 1,2022/10/07 08:21:00,
172,1088611746,에스비엠텔레콤(주),홍은수,분석,57359770,85.0,89.567,89.597,-0.3166 (99.6834),7 11,2022/10/06 07:25:41,
173,1328800173,난방산업 주식회사,강경옥,분석,57360160,85.0,89.567,89.597,-0.3159 (99.6841),2 7,2022/10/06 14:05:58,
174,1138622662,퍼스트아이앤씨 주식회사,박상호,분석,57361400,85.0,89.569,89.599,-0.3137 (99.6863),2 3,2022/10/06 19:33:58,
175,5598700333,주식회사 제이투디앤티,김세환,분석,57361684,85.0,89.57,89.6,-0.3132 (99.6868),9 7,2022/10/06 12:45:26,
176,1068660843,세중물산 주식회사,김용욱,분석,57361792,85.0,89.57,89.6,-0.3131 (99.6869),1 8,2022/10/05 13:48:40,
177,6728100065,케이비드 주식회사,원용춘,분석,57362500,85.0,89.571,89.601,-0.3118 (99.6882),12 13,2022/10/06 17:06:25,
178,2198125754,알티엘산업 주식회사,이근태,분석,57362980,85.0,89.572,89.602,-0.3110 (99.689),1 11,2022/10/06 01:44:10,
179,1138148411,(주)풍천정보네트웍,김학봉,분석,57363817,85.0,89.573,89.603,-0.3095 (99.6905),7 8,2022/10/06 10:02:23,
180,1138680513,주식회사연수이앤씨,조운호,분석,57364716,85.0,89.575,89.604,-0.3080 (99.692),9 12,2022/10/06 15:59:10,
181,2198114499,(주)이레에너지테크,강래원,분석,57365400,85.0,89.576,89.605,-0.3068 (99.6932),12 15,2022/10/06 09:54:47,
182,1068194620,(주)합동전자산업,정호원,분석,57365590,85.0,89.576,89.606,-0.3065 (99.6935),2 7,2022/10/05 13:29:13,
183,2098211809,사단법인 해오름장애인협회,노영주,분석,57365591,85.0,89.576,89.606,-0.3064 (99.6936),11 14,2022/10/06 13:50:54,
184,1918801109,지디엘테크 주식회사,김완중,분석,57366856,85.0,89.579,89.608,-0.3043 (99.6957),6 14,2022/10/06 17:39:12,
185,2208735083,주식회사 강남전기공사,나중안,분석,57369715,85.0,89.583,89.612,-0.2993 (99.7007),6 12,2022/10/05 10:51:11,
186,1088114068,(주)대인정보통신,유재호,분석,57370520,85.0,89.585,89.613,-0.2979 (99.7021),4 8,2022/10/05 15:38:13,
187,1018116968,(주)넥슨정보통신,신양인,분석,57371170,85.0,89.586,89.614,-0.2968 (99.7032),5 2,2022/10/05 10:54:29,
188,2018176136,(주)휴넷시스템,김초영,분석,57371518,85.0,89.586,89.615,-0.2961 (99.7039),11 4,2022/10/07 09:17:05,
189,1078646179,(주)가이드삼정,문용만,분석,57371794,85.0,89.587,89.615,-0.2957 (99.7043),9 1,2022/10/05 10:51:28,
190,1708601068,주식회사 와이비정보시스템,정영배,분석,57372900,85.0,89.589,89.617,-0.2937 (99.7063),7 9,2022/10/05 21:11:33,
