순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
46,1018639665,(주)한양인프라넷,김주호,분석,377371140,79.4,87.967,88.522,0.05510 (100.0551),8 5,2023/05/19 07:47:42,
47,5298100062,주식회사 알에프코리아,신현성,분석,377375270,79.4,87.968,88.523,0.05620 (100.0562),14 5,2023/05/22 09:09:03,
48,2148626637,(주)아이엔지시스템,김정화,분석,377377500,79.4,87.968,88.523,0.05680 (100.0568),3 2,2023/05/22 16:19:17,
49,1138157550,뉴코리아전자통신 주식회사,조영순,분석,377392453,79.4,87.972,88.527,0.06080 (100.0608),9 11,2023/05/22 08:19:31,
50,2128153400,일렉파워주식회사,김성호,분석,377407290,79.6,87.976,88.53,0.06476 (100.06476),7 11,2023/05/23 09:16:48,
51,1248106672,(주)데스코,이상혁,분석,377408310,79.6,87.976,88.531,0.06503 (100.06503),8 12,2023/05/23 08:42:15,
52,2048626080,주식회사 엘제이이엔지,임성희,분석,377413300,79.6,87.977,88.532,0.06637 (100.06637),5 14,2023/05/19 15:39:57,
53,1168161465,(주)솔루텍시스템,이인명,분석,377420443,79.6,87.979,88.533,0.06828 (100.06828),7 4,2023/05/19 15:03:04,
54,1188110211,(주)텔레텍코리아,윤광수,분석,377446470,79.8,87.986,88.539,0.07524 (100.07524),3 7,2023/05/19 12:22:53,
55,1048603486,우영메카(주),김규승,분석,377452302,79.8,87.987,88.541,0.07680 (100.0768),8 6,2023/05/22 02:00:54,
56,2188106400,한양전자산업(주),최병훈,분석,377485220,80.0,87.995,88.549,0.08560 (100.0856),14 4,2023/05/22 11:54:32,
57,1138649133,빅썬시스템즈 주식회사,권태일,분석,377487150,80.0,87.996,88.549,0.08611 (100.08611),7 1,2023/05/22 08:32:27,
58,1128141680,주식회사엠케이씨티,장재철,분석,377496440,80.0,87.998,88.551,0.08859 (100.08859),5 4,2023/05/23 08:54:48,
59,1188115778,대신통신기술(주),김지영,분석,377511100,80.0,88.002,88.555,0.09251 (100.09251),15 6,2023/05/23 09:19:34,
60,1098643839,주식회사 케이비정보통신,지인현,분석,377517089,80.0,88.003,88.556,0.09412 (100.09412),11 3,2023/05/22 16:05:13,
61,1188113673,동해정보통신 주식회사,이창원,분석,377517400,80.0,88.003,88.556,0.09420 (100.0942),13 4,2023/05/22 13:54:37,
62,1148199927,주식회사 인텔리빅스,장정훈,분석,377518420,80.0,88.004,88.556,0.09447 (100.09447),7 6,2023/05/22 09:25:02,
63,2258115381,(주)인하통신,이춘범,분석,377563867,79.6,88.015,88.567,0.10662 (100.10662),7 12,2023/05/23 08:10:12,
64,1048607916,대신브이씨에스주식회사,김창선,분석,377585840,79.6,88.02,88.572,0.11249 (100.11249),15 4,2023/05/19 11:48:42,
65,1208633380,(주)에스에스통신,이종필,분석,377593322,79.6,88.022,88.574,0.11450 (100.1145),10 1,2023/05/19 13:39:54,
66,4018600546,주식회사 케이투시스템즈,강병준,분석,377596300,79.6,88.023,88.575,0.11529 (100.11529),9 1,2023/05/23 08:56:48,
67,1208782160,에스엔에스이서비스주식회사,정경식,분석,377614280,79.4,88.028,88.579,0.12010 (100.1201),1 3,2023/05/22 09:28:05,
68,1108131416,중앙하이텔 주식회사,윤석래,분석,377622480,79.4,88.03,88.581,0.12229 (100.12229),2 15,2023/05/22 08:55:38,
69,1108179327,(주) 유엘네트웍스,정재순,분석,377626613,79.4,88.031,88.582,0.12340 (100.1234),5 2,2023/05/19 09:59:24,
70,1138637772,(주)헤로스테크,박우현,분석,377626980,79.4,88.031,88.582,0.12349 (100.12349),6 7,2023/05/19 13:50:09,
71,2188120741,케이씨티정보통신(주),백형은,분석,377638390,79.4,88.034,88.585,0.12654 (100.12654),4 1,2023/05/23 09:17:44,
72,1208194567,아산정보통신(주),홍수길,분석,377646729,79.2,88.036,88.586,0.12877 (100.12877),9 12,2023/05/19 10:28:59,
73,1108157338,(주)메트로컴넷,최선민,분석,377655790,79.2,88.038,88.589,0.13120 (100.1312),7 11,2023/05/22 09:10:15,
74,2068125404,(주)대경인트라넷,이강열,분석,377675614,79.2,88.043,88.593,0.13649 (100.13649),11 9,2023/05/22 16:53:06,
75,1088196885,주식회사글로벌정보통신,양진이,분석,377675615,79.2,88.043,88.593,0.13650 (100.1365),15 13,2023/05/22 09:16:54,
76,2048159043,이앤씨텔레콤(주),김진갑,분석,377676363,79.2,88.043,88.593,0.13670 (100.1367),13 10,2023/05/22 10:03:02,
77,8348600218,주식회사 코리아통신,강우용,분석,377677180,79.2,88.043,88.594,0.13691 (100.13691),14 9,2023/05/21 17:45:39,
78,1138636870,주식회사 나우시스템,이종한,분석,377682570,79.0,88.045,88.595,0.13835 (100.13835),14 6,2023/05/22 10:12:39,
